Powiat,URL
Powiat żywiecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/241700
Miasto na prawach powiatu Bielsko-Biała,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/246100
Powiat częstochowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/240400
Powiat kłobucki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/240600
Powiat lubliniecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/240700
Powiat myszkowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/240900
Miasto na prawach powiatu Częstochowa,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/246400
Powiat gliwicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/240500
Powiat tarnogórski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/241300
Miasto na prawach powiatu Bytom,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/246200
Miasto na prawach powiatu Gliwice,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/246600
Miasto na prawach powiatu Zabrze,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/247800
Powiat mikołowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/240800
Powiat raciborski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/241100
